Plate_No,sample,SampleNumber,NewSampleNumber,SampleOrder,Treatment,SampleDate,BioSample
1,FD200,200,1,1,Freeze-dried,2019-04-01,SAMN23246723
3,200,200,1,1,Frozen,2019-04-01,SAMN23246976
1,FD212,212,2,2,Freeze-dried,2019-04-05,SAMN23246728
3,212,212,2,2,Frozen,2019-04-05,SAMN23246964
1,FD571,571,3,3,Freeze-dried,2019-10-14,SAMN23246794
3,571,571,3,3,Frozen,2019-10-14,SAMN23246920
1,FD519,519,4,4,Freeze-dried,2019-10-06,SAMN23246797
2,519,519,4,4,Frozen,2019-10-06,SAMN23246882
1,560,560,5,5,Frozen,2019-10-09,SAMN23246721
1,FD560,560,5,5,Freeze-dried,2019-10-09,SAMN23246801
2,FD541,541,6,6,Freeze-dried,2019-10-07,SAMN23246838
3,541,541,6,6,Frozen,2019-10-07,SAMN23246997
2,FD538,538,7,7,Freeze-dried,2019-10-07,SAMN23246845
3,538,538,7,7,Frozen,2019-10-07,SAMN23246952
2,FD566,566,8,8,Freeze-dried,2019-10-14,SAMN23246849
3,566,566,8,8,Frozen,2019-10-14,SAMN23246917
2,FD201,201,9,9,Freeze-dried,2019-04-02,SAMN23246852
3,201,201,9,9,Frozen,2019-04-02,SAMN23246990
1,202,202,10,10,Frozen,2019-04-02,SAMN23246747
2,FD202,202,10,10,Freeze-dried,2019-04-02,SAMN23246890
1,529,529,11,11,Frozen,2019-10-07,SAMN23246712
3,FD529,529,11,11,Freeze-dried,2019-10-07,SAMN23246913
2,229,229,12,12,Frozen,2019-04-07,SAMN23246843
3,FD229,229,12,12,Freeze-dried,2019-04-07,SAMN23246921
3,FD198,198,13,13,Freeze-dried,2019-04-01,SAMN23246924
3,198,198,13,13,Frozen,2019-04-01,SAMN23246930
1,228,228,14,14,Frozen,2019-04-07,SAMN23246780
3,FD228,228,14,14,Freeze-dried,2019-04-07,SAMN23246934
2,577,577,15,15,Frozen,2019-10-15,SAMN23246869
3,FD577,577,15,15,Freeze-dried,2019-10-15,SAMN23246939
1,518,518,16,16,Frozen,2019-10-06,SAMN23246763
3,FD518,518,16,16,Freeze-dried,2019-10-06,SAMN23246969
3,FD568,568,17,17,Freeze-dried,2019-10-14,SAMN23246970
3,568,568,17,17,Frozen,2019-10-14,SAMN23246989
3,528,528,18,18,Frozen,2019-10-06,SAMN23246963
3,FD528,528,18,18,Freeze-dried,2019-10-06,SAMN23246980
2,514,514,19,19,Frozen,2019-10-06,SAMN23246828
3,FD514,514,19,19,Freeze-dried,2019-10-06,SAMN23246985
2,213,213,20,20,Frozen,2019-04-05,SAMN23246808
3,FD213,213,20,20,Freeze-dried,2019-04-05,SAMN23246993
